,Hospitais,Hospitais,Hospitais,MedFarm,MedFarm,Ensino,Ensino,Ensino,Ensino,Ensino,Universidades,Universidades,Universidades,Abstencao,GanhoMes,GanhoMes,GanhoMes,PoderCompra,Hospedes,Hospedes
,Total,Oficial,Privado,Medico,Farmaceutico,Educação Pré-Escolar,Ensino Básico - 1º Ciclo,Ensino Básico - 2º Ciclo,Ensino Básico - 3º Ciclo,Ensino Secundário,Total,Público,Privado,Abstencao,Total,Masculino,Feminino,PoderCompra,Total,Hotéis
MURCA,0,0,0,607.9,1094.3,3,1,1,2,2,0,0,0,54.4,901.0,882.4,920.8,61.2,716,0
PENEDONO,0,0,0,1300.3,1300.3,2,1,1,1,0,0,0,0,54.8,771.4,759.0,784.1,62.1,1719,0
PESO-DA-REGUA,0,0,0,385.4,752.5,8,2,1,2,2,0,0,0,55.3,981.5,1111.1,852.4,82.5,47362,0
SABROSA,0,0,0,845.4,986.3,6,1,1,1,1,0,0,0,53.8,928.9,949.7,907.8,61.9,21051,0
SANTA-MARTA-DE-PENAGUIAO,0,0,0,946.3,1656.0,5,4,1,1,0,0,0,0,51.9,850.9,866.9,837.6,58.7,1969,0
SAO-JOAO-DA-PESQUEIRA,0,0,0,649.0,1784.9,6,4,1,2,2,0,0,0,51.8,874.9,922.1,816.4,64.6,3170,0
SERNANCELHE,0,0,0,673.8,1796.7,2,1,1,1,1,0,0,0,41.5,804.1,828.6,771.0,58.8,6161,0
TABUACO,0,0,0,1205.0,1004.2,1,1,1,1,1,0,0,0,49.2,923.6,987.0,856.6,55.3,17622,0
TAROUCA,0,0,0,486.4,972.8,3,1,1,1,1,0,0,0,53.1,857.3,873.0,828.3,63.4,4781,0
TORRE-DE-MONCORVO,0,0,0,642.1,2568.5,8,1,1,1,1,0,0,0,54.0,852.5,887.7,817.6,62.3,7279,0
VILA-NOVA-DE-FOZ-COA,0,0,0,501.7,1087.0,3,2,1,1,1,0,0,0,55.5,927.6,1016.3,826.7,68.0,5953,0
VILA-REAL,2,1,1,142.2,703.0,28,20,4,7,6,5,5,0,46.3,1037.5,1075.6,996.1,98.1,47959,35256
ALFANDEGA-DA-FE,0,0,0,506.6,506.6,4,1,1,1,1,0,0,0,46.2,815.9,808.3,824.5,66.0,10031,0
BRAGANCA,1,1,0,187.7,933.2,19,15,3,6,5,4,4,0,56.8,980.6,1022.2,938.0,96.5,73699,0
MACEDO-DE-CAVALEIROS,1,1,0,403.7,1038.1,8,4,1,1,2,0,0,0,56.3,856.9,891.0,820.6,73.5,8934,0
MIRANDA-DO-DOURO,0,0,0,527.2,2284.5,4,3,2,2,1,0,0,0,55.1,873.3,954.5,796.5,72.7,28937,8577
MIRANDELA,2,1,1,244.7,806.7,11,6,2,4,3,1,1,0,54.2,927.8,973.8,885.7,83.0,24719,0
MOGADOURO,0,0,0,496.3,1205.2,3,2,1,1,1,0,0,0,54.0,844.3,893.8,791.0,67.9,3326,0
VILA-FLOR,0,0,0,757.3,1514.6,9,5,1,1,1,0,0,0,51.8,866.9,907.1,829.8,62.4,3898,0
VIMIOSO,0,0,0,578.1,1011.6,2,1,1,1,0,0,0,0,59.3,838.2,876.8,807.8,62.3,2042,0
VINHAIS,0,0,0,779.7,974.6,6,2,1,1,1,0,0,0,57.8,782.2,815.9,747.8,57.9,6974,0
ALCOBACA,1,1,0,696.1,1050.9,33,29,5,6,4,0,0,0,43.7,968.4,1066.6,857.9,86.7,70336,47044
ALENQUER,0,0,0,600.3,353.4,19,21,4,4,1,0,0,0,44.5,1131.8,1224.1,976.2,89.2,6256,0
ARRUDA-DOS-VINHOS,0,0,0,448.4,3811.8,5,4,1,2,2,0,0,0,38.5,1080.2,1164.4,942.8,91.0,6554,0
BOMBARRAL,0,0,0,627.3,1254.6,5,2,1,1,1,0,0,0,46.1,902.6,958.9,838.6,83.5,9969,0
CADAVAL,0,0,0,1365.0,1516.7,11,10,1,1,1,0,0,0,45.5,943.7,1034.7,847.3,70.8,4929,0
CALDAS-DA-RAINHA,3,1,2,253.6,848.0,33,29,5,7,5,1,1,0,48.4,943.0,1053.6,846.1,98.1,97546,85617
LOURINHA,0,0,0,560.1,1515.4,15,15,3,3,1,0,0,0,46.4,904.2,972.2,823.2,78.3,14567,0
