,F,F,F,F,F,F,F,F,M,M,M,M,M,M,M,M
,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_plus,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_plus
FREIXO-DE-ESPADA-A-CINTA,106.0,137.0,151.0,186.0,160.0,195.0,270.0,505.0,137.0,136.0,149.0,192.0,180.0,194.0,229.0,372.0
LAMEGO,985.0,1361.0,1411.0,1674.0,2033.0,1837.0,1519.0,2216.0,1070.0,1458.0,1436.0,1564.0,1897.0,1747.0,1194.0,1491.0
MESAO-FRIO,141.0,216.0,240.0,269.0,282.0,286.0,223.0,410.0,173.0,229.0,241.0,246.0,294.0,274.0,203.0,238.0
MOIMENTA-DA-BEIRA,404.0,562.0,530.0,573.0,697.0,698.0,634.0,977.0,421.0,592.0,515.0,567.0,624.0,648.0,569.0,723.0
MURCA,185.0,227.0,262.0,295.0,342.0,414.0,435.0,642.0,194.0,298.0,261.0,282.0,367.0,404.0,372.0,485.0
PENEDONO,88.0,117.0,125.0,145.0,154.0,191.0,176.0,354.0,98.0,144.0,138.0,143.0,154.0,184.0,153.0,227.0
PESO-DA-REGUA,630.0,948.0,880.0,1080.0,1191.0,1184.0,960.0,1431.0,649.0,896.0,920.0,1002.0,1132.0,1192.0,792.0,885.0
SABROSA,232.0,274.0,282.0,362.0,354.0,433.0,419.0,708.0,241.0,296.0,302.0,356.0,376.0,431.0,386.0,467.0
SANTA-MARTA-DE-PENAGUIAO,241.0,300.0,318.0,423.0,455.0,521.0,443.0,792.0,242.0,344.0,356.0,405.0,427.0,494.0,374.0,465.0
SAO-JOAO-DA-PESQUEIRA,266.0,405.0,386.0,431.0,495.0,483.0,422.0,723.0,309.0,405.0,425.0,444.0,516.0,489.0,388.0,537.0
SERNANCELHE,205.0,291.0,272.0,284.0,385.0,370.0,373.0,602.0,197.0,294.0,274.0,311.0,383.0,344.0,324.0,486.0
TABUACO,227.0,324.0,328.0,385.0,411.0,447.0,349.0,666.0,223.0,301.0,355.0,356.0,437.0,437.0,315.0,471.0
TAROUCA,360.0,457.0,437.0,587.0,579.0,489.0,456.0,658.0,394.0,483.0,420.0,519.0,631.0,500.0,390.0,445.0
TORRE-DE-MONCORVO,204.0,280.0,359.0,338.0,449.0,572.0,633.0,1174.0,200.0,322.0,352.0,391.0,441.0,550.0,547.0,882.0
VILA-NOVA-DE-FOZ-COA,234.0,272.0,312.0,333.0,394.0,462.0,524.0,897.0,179.0,307.0,310.0,356.0,399.0,461.0,438.0,625.0
VILA-REAL,2278.0,2601.0,2985.0,4021.0,4120.0,3483.0,2829.0,3873.0,2461.0,2790.0,2815.0,3679.0,3797.0,3227.0,2455.0,2549.0
ALFANDEGA-DA-FE,136.0,213.0,201.0,223.0,279.0,321.0,348.0,630.0,125.0,196.0,223.0,240.0,281.0,344.0,310.0,480.0
BRAGANCA,1308.0,1501.0,1897.0,2407.0,2376.0,2531.0,2107.0,3346.0,1353.0,1613.0,1780.0,2352.0,2315.0,2303.0,1935.0,2483.0
MACEDO-DE-CAVALEIROS,516.0,679.0,786.0,799.0,934.0,1071.0,1071.0,1768.0,525.0,650.0,701.0,758.0,981.0,1045.0,938.0,1295.0
